"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003",1393.55990177274,8.22885425894837e-06,0.00144260820263996,0.330030703194453,0.64280187720417
"ENSG00000000005",0.573919498968072,7.92592101007174e-07,0.00144269381831527,0.451281573927883,NA
"ENSG00000000419",1135.33495076507,-2.3503008093212e-06,0.00144245377812692,0.858230261425501,0.948683697890552
"ENSG00000000457",286.745732613293,1.1127943993261e-05,0.00144248363344245,0.390936167985972,0.694907883411083
"ENSG00000000460",277.611887581918,1.18839913983099e-07,0.00144265574047282,0.98301155755595,0.994538132721025
"ENSG00000000938",18.0182293819156,-3.94234215625685e-06,0.00144269545779756,0.953391995655452,0.983416519106054
"ENSG00000000971",166.562646691984,-4.64064503518148e-06,0.00144268611837566,0.125959706548911,0.402934432147369
"ENSG00000001036",2950.71492415672,-1.69541581596128e-05,0.00144263314524138,0.0589490951977511,0.276254381340665
"ENSG00000001084",1059.71086513587,-6.04244293427057e-06,0.00144266377702753,0.403844236882192,0.707019745542532
"ENSG00000001167",1451.21792098472,1.09552289554184e-05,0.00144254494543762,0.526959933265158,0.78838428802602
"ENSG00000001460",229.187555428063,-1.26176029353512e-05,0.00144268137320889,0.0210432121777619,0.165487677811871
"ENSG00000001461",1164.01707347514,-2.11655621717676e-05,0.00144268229599138,0.0088735788427847,0.110739999932532
"ENSG00000001497",1169.70256986018,-8.91702688962666e-06,0.00144250165276368,0.465170410178823,0.746814622812389
"ENSG00000001561",200.085477666339,-4.76812369416485e-06,0.00144269210432443,0.0349685057070545,0.212536447199267
"ENSG00000001617",5409.87840195202,-7.47708512659535e-06,0.00144269482926203,0.00600949255457304,0.092186645647064
"ENSG00000001626",2.72210318200857,-1.61760570531213e-07,0.00144269128090703,0.921075011033754,NA
"ENSG00000001629",2607.65808707026,-2.09768418891344e-05,0.00144258659962372,0.0691440972171876,0.297876632780554
"ENSG00000001630",203.675114744499,3.91103182894626e-06,0.00144266552596145,0.41791195838361,0.716308240463668
"ENSG00000001631",497.765694927228,1.11709621693868e-05,0.00144250847998332,0.362618154260022,0.670719836333747
"ENSG00000002016",291.520277389887,3.74642750710154e-06,0.00144261770952243,0.622378481630164,0.844819315035416
"ENSG00000002079",42.208537216684,-3.33734284647299e-06,0.00144269461487384,0.0149859373429284,0.139910608694174
"ENSG00000002330",616.968088087287,-2.19212317717006e-05,0.00144265241174055,0.0215114903659744,0.167300902576904
"ENSG00000002549",2813.76067436227,-1.53483300291939e-05,0.00144268459433175,0.0118522508105463,0.125061972432075
"ENSG00000002586",16135.7391802421,-1.22276802375001e-05,0.00144265458188484,0.107098354962357,0.371495306484983
"ENSG00000002587",135.889657085999,-2.02787140936593e-07,0.00144268189658579,0.950160659842878,0.982341929178454
"ENSG00000002726",3.80434541776192,5.16767267886378e-07,0.00144268748578695,0.82589349881159,NA
"ENSG00000002745",3.45018090061434,-2.70566490704028e-06,0.0014426931903614,0.0744763320131384,NA
"ENSG00000002746",6.52378316117611,-3.11075286967324e-06,0.00144268159902842,0.347066732473861,NA
"ENSG00000002822",16.1212010596022,-1.60199127037331e-06,0.00144267364743419,0.685883766268037,0.877101967143171
"ENSG00000002834",13855.3914731717,-0.266390667172067,0.161574129981963,0.00241027692762583,0.0597474579809744
"ENSG00000002919",625.266275780736,-8.7811919524961e-06,0.00144254469086009,0.418534215708721,0.716884622636034
"ENSG00000002933",0.54010402000248,-2.26590276126689e-06,0.00144269578687232,0.231872449261099,NA
"ENSG00000003056",2125.21434361245,-1.25634949700714e-05,0.0014425807658589,0.21361119664111,0.522930843138146
"ENSG00000003096",224.484424418086,-1.9761879944677e-06,0.00144269279628374,0.412943651300419,0.712596428017502
"ENSG00000003137",23.6024792611412,-2.83115901652115e-06,0.00144269005525851,0.793176945902259,0.925032531582574
"ENSG00000003147",1254.40903743324,7.45707659901363e-05,0.00144358566288618,0.579612396531973,0.820292660554142
"ENSG00000003249",1429.05566267828,2.27812916815019e-06,0.00144266786541738,0.817818361447456,0.935142514566501
"ENSG00000003393",2154.19186674854,-3.4558583426182e-05,0.00144276581691955,0.000507423009284192,0.0285038124038801
"ENSG00000003400",2158.76614116149,-2.66091178368993e-05,0.00144277181356017,0.080026085064796,0.321073790913347
"ENSG00000003402",8178.72854858919,3.07912023033104e-05,0.00144277856374448,0.137739853063848,0.421355923299038
"ENSG00000003436",21156.3381724948,0.767122659271032,0.300632964723059,0.000369781753279852,0.0248845747660206
"ENSG00000003509",462.799086878759,7.75445360723199e-06,0.00144227214410907,0.967867662421073,0.988806273337275
"ENSG00000003756",3615.75049478108,4.52972453737884e-06,0.00144251131593358,0.697567876896416,0.883187325931658
"ENSG00000003987",75.7858500258343,5.55037807715531e-06,0.00144261816082384,0.471441052517941,0.751174230668583
"ENSG00000003989",1047.35734391738,-2.45701171779822e-06,0.00144269250736521,0.13108737524411,0.410561646594624
"ENSG00000004059",1890.84508947066,-4.8894844202313e-06,0.00144216178689667,0.803413241246942,0.928756393492224
"ENSG00000004139",156.639670758125,-8.1086402677356e-06,0.00144268102446246,0.058919479136393,0.276254381340665
"ENSG00000004142",2970.61332013207,-1.34725993244853e-05,0.00144262215717971,0.0792606408946076,0.319047148233734
"ENSG00000004399",39246.9709357712,-1.12377587705259e-05,0.00144264954169298,0.10743292134159,0.372035884058754
"ENSG00000004455",3073.59960948196,1.0137427003447e-05,0.00144252610197727,0.383074532688115,0.689173432893517
"ENSG00000004468",746.224009641263,2.58282196401437e-06,0.00144269452442829,0.0278472712143468,0.190078004401808
"ENSG00000004478",2050.28540297716,-2.78684975903514e-06,0.00144263279208797,0.679493001211447,0.873833054142257
"ENSG00000004487",3564.50320944823,-1.2350734589004e-05,0.00144261027990602,0.107886740844524,0.372887285455402
"ENSG00000004534",2673.32802011821,-1.85970251869601e-05,0.00144259763498097,0.233131189602098,0.545405141889928
"ENSG00000004660",175.978537409708,-1.02640248546038e-05,0.00144267726224998,0.0445445348212592,0.240650889360327
"ENSG00000004700",2360.25918579217,7.90413915141303e-05,0.00144342689656752,0.286470656144797,0.602931318684363
"ENSG00000004766",869.358258314187,-1.13398761175917e-05,0.00144245375485851,0.410488148917092,0.711427650020167
"ENSG00000004776",212.283655074108,-4.53752572075986e-06,0.00144269294705064,0.0277441882057703,0.189697221370105
"ENSG00000004777",234.555897309562,5.13228227719914e-07,0.00144265921664423,0.920949269265016,0.973021240731472
